State,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,4,5,4,5,5,7,6,5,6,6,6,7,7,6,6,6,7,7,6,6,6,5,6,6,6,6,6,4,4,5,4,4,4,4,3,5,5,4,3,3,5,4,5,4,4,5,4,4,4,4,4,3,3,4,4,3,4,2,2,2,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,2,1,1,2,2,3,2,2,2,2,3,4,4,5
10,0,0,0,0,9,0,7,6,0,4,4,9,0,7,5,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,6,5,0,4,0,7,5,3,0,3,3,3,0,3,2,2,3,2,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4
12,6,4,7,6,9,9,6,5,8,7,8,8,9,8,8,7,8,6,7,9,9,9,9,9,4,6,7,8,8,8,7,7,6,6,6,6,6,6,6,6,5,6,5,6,5,5,6,4,5,4,3,4,4,3,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,3,4,3
13,2,5,5,4,4,5,3,4,5,6,5,6,6,6,7,5,6,7,6,7,6,6,8,6,6,6,5,7,6,6,9,8,6,6,6,6,6,6,6,6,5,6,6,6,5,6,5,5,5,5,5,4,4,3,3,3,3,2,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,2,1,2,2,2,2,2,2,3,2,2,2,3,3,3,3,4,5
15,0,0,0,9,0,0,8,9,9,9,9,9,8,9,9,9,9,8,9,9,9,9,5,4,9,8,9,9,6,8,7,9,8,7,8,9,4,4,0,4,8,4,4,2,3,3,4,4,2,0,3,2,2,2,3,3,0,0,0,0,2,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,0,0,0,4,0,0,6,0,0,4,0,0,0,0,7,0,5,6,4,0,8
16,0,9,0,6,8,9,9,9,9,9,9,8,9,9,8,7,9,8,5,7,9,5,3,4,4,4,6,4,5,6,4,3,6,2,3,4,2,2,2,2,0,3,2,0,2,1,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,3,5,3,5,4,7,5
17,6,7,7,8,8,8,7,7,9,9,8,9,8,8,8,8,7,8,7,6,5,7,5,5,6,4,4,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,5,5,5,5,7,9
18,5,9,7,9,9,9,8,9,9,9,9,8,8,8,9,7,7,7,7,6,6,6,5,5,5,4,4,3,2,3,2,2,3,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,2,2,2,3,2,4,5,5,6,8,8
19,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,7,7,9,7,6,6,6,6,5,4,3,2,3,3,2,2,3,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,2,2,2,3,2,3,6,3,7,9,7
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,5,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,6,7,0,9
20,7,9,9,9,9,9,9,9,9,9,9,9,9,8,7,7,8,9,8,5,4,8,5,6,3,3,4,3,4,3,3,2,3,3,2,3,3,3,2,2,2,3,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,2,2,3,2,3,3,4,7,3,9,7
21,3,5,5,3,5,6,5,5,4,5,6,6,6,7,7,4,6,5,6,4,6,6,5,5,5,5,5,5,4,4,5,4,4,4,5,4,5,5,4,3,3,3,4,3,4,4,3,4,4,4,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,2,2,2,3,3,4,4,4
22,6,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,7,7,7,8,6,6,7,5,6,6,4,5,5,4,6,4,5,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,2,3,3,2,3,2,2,4,3,5,6,7,6
23,9,9,7,0,5,8,6,7,6,6,4,6,5,6,6,8,6,7,5,4,4,4,5,6,5,3,4,3,2,3,2,0,3,2,3,3,3,1,0,1,3,1,1,2,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,4,4,4,4,8,9
24,0,6,4,4,2,4,2,4,5,7,7,7,6,7,8,7,8,7,5,6,4,6,5,5,7,5,4,3,2,5,5,4,5,4,4,5,4,3,5,2,3,3,2,3,4,2,2,4,3,2,2,3,2,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,3,3,3,3,3,4,5,5,4
25,3,3,2,3,2,2,2,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,4,3,4,4,5,5,4,8,9
26,4,7,7,8,9,8,7,8,8,8,9,8,7,7,8,8,7,8,7,8,6,7,5,5,4,4,3,3,3,4,3,3,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,2,3,3,4,4,6,6,6,9
27,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,9,9,6,7,6,6,4,6,4,4,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,2,2,3,3,4,4,6,6,7,9,9,9
28,5,6,5,5,4,5,5,5,6,4,5,6,6,6,4,4,7,4,5,5,4,4,4,5,4,3,2,4,4,3,4,4,3,3,2,4,4,3,4,4,3,4,5,3,4,4,5,4,5,5,6,7,5,6,5,4,4,4,3,3,3,2,2,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,0,2,1,1,0,1,0,1,0,0,2,1,2,2,0,1,1,1,3,0,2,3,2,2,3,3,4
29,7,7,8,7,7,9,9,9,9,9,8,8,8,8,8,7,8,7,7,6,6,5,6,6,5,4,4,3,5,3,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,2,1,2,2,2,3,5,4,4,6,7,8
30,0,9,7,9,9,9,9,9,9,9,9,9,9,8,9,7,9,6,8,6,4,7,9,7,9,5,6,6,3,0,5,5,4,4,3,3,3,3,3,1,0,3,2,0,2,2,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,6,0,9,8
31,4,9,9,9,9,9,9,9,9,9,9,8,9,9,8,9,7,9,7,7,4,8,6,5,5,3,4,3,2,2,4,3,1,2,3,1,3,2,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,2,2,4,5,5,6,6,8,9
32,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,7,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,2,2,0,2,3,2,3,2,3,3,3,3,3,4,5,7,6
33,0,0,0,0,0,4,5,3,4,0,0,4,4,3,0,0,3,0,0,4,4,6,4,0,6,3,3,0,3,5,5,4,2,2,0,0,3,3,2,3,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,3,4,3,4,7,6
34,3,5,2,3,3,4,4,4,4,4,4,5,4,5,4,5,4,4,4,5,5,4,5,4,3,3,3,4,3,2,3,3,2,3,2,3,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,3,3,3,3,3,4,4
35,0,0,0,0,9,6,8,9,6,4,5,3,5,3,4,5,4,0,4,0,5,3,3,3,3,3,4,6,5,6,2,5,5,4,4,3,6,5,2,2,3,2,5,4,2,3,3,4,2,3,4,4,4,3,3,3,3,2,2,2,0,2,2,2,0,2,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,2,2,0,0,2,2,0,0,2,2,3,3,0,3,3,2,3,5,3,3,3
36,3,6,5,5,5,5,5,5,6,5,6,5,5,5,6,5,5,5,6,5,4,5,4,4,4,4,3,3,2,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,2,2,3,3,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2,2,2,3,4,4,4,4,4,5,6,7
37,3,4,5,5,5,6,5,6,5,6,6,6,6,6,6,6,6,7,6,6,6,7,6,4,7,5,5,6,5,5,7,6,5,6,5,7,5,6,6,5,5,6,6,5,6,5,5,4,4,4,3,3,3,4,2,2,2,2,2,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,3,3,4,4,3,5
